node_id,protein_id_flag,protein_id
0,0,P2Y12_HUMAN
1,0,P2Y12_HUMAN
2,0,P2Y12_HUMAN
3,0,P2Y12_HUMAN
4,0,P2Y12_HUMAN
5,0,P2Y12_HUMAN
6,0,P2Y12_HUMAN
7,0,P2Y12_HUMAN
8,0,P2Y12_HUMAN
9,0,P2Y12_HUMAN
10,0,P2Y12_HUMAN
11,0,P2Y12_HUMAN
12,0,P2Y12_HUMAN
13,0,P2Y12_HUMAN
14,0,P2Y12_HUMAN
15,0,P2Y12_HUMAN
16,0,P2Y12_HUMAN
17,0,P2Y12_HUMAN
18,0,P2Y12_HUMAN
19,0,P2Y12_HUMAN
20,0,P2Y12_HUMAN
21,0,P2Y12_HUMAN
22,0,P2Y12_HUMAN
23,0,P2Y12_HUMAN
24,0,P2Y12_HUMAN
25,0,P2Y12_HUMAN
26,0,P2Y12_HUMAN
27,0,P2Y12_HUMAN
28,0,P2Y12_HUMAN
29,0,P2Y12_HUMAN
30,0,P2Y12_HUMAN
31,0,P2Y12_HUMAN
32,0,P2Y12_HUMAN
33,0,P2Y12_HUMAN
34,0,P2Y12_HUMAN
35,0,P2Y12_HUMAN
36,0,P2Y12_HUMAN
37,0,P2Y12_HUMAN
38,0,P2Y12_HUMAN
39,0,P2Y12_HUMAN
40,0,P2Y12_HUMAN
41,0,P2Y12_HUMAN
42,0,P2Y12_HUMAN
43,0,P2Y12_HUMAN
44,0,P2Y12_HUMAN
45,0,P2Y12_HUMAN
46,0,P2Y12_HUMAN
47,0,P2Y12_HUMAN
48,0,P2Y12_HUMAN
49,0,P2Y12_HUMAN
50,0,P2Y12_HUMAN
51,0,P2Y12_HUMAN
52,0,P2Y12_HUMAN
53,0,P2Y12_HUMAN
54,0,P2Y12_HUMAN
55,0,P2Y12_HUMAN
56,0,P2Y12_HUMAN
57,0,P2Y12_HUMAN
58,0,P2Y12_HUMAN
59,0,P2Y12_HUMAN
60,0,P2Y12_HUMAN
61,0,P2Y12_HUMAN
62,0,P2Y12_HUMAN
63,0,P2Y12_HUMAN
64,0,P2Y12_HUMAN
65,0,P2Y12_HUMAN
66,0,P2Y12_HUMAN
67,0,P2Y12_HUMAN
68,0,P2Y12_HUMAN
69,0,P2Y12_HUMAN
70,0,P2Y12_HUMAN
71,0,P2Y12_HUMAN
72,0,P2Y12_HUMAN
73,0,P2Y12_HUMAN
74,0,P2Y12_HUMAN
75,0,P2Y12_HUMAN
76,0,P2Y12_HUMAN
77,0,P2Y12_HUMAN
78,0,P2Y12_HUMAN
79,0,P2Y12_HUMAN
80,0,P2Y12_HUMAN
81,0,P2Y12_HUMAN
82,0,P2Y12_HUMAN
83,0,P2Y12_HUMAN
84,0,P2Y12_HUMAN
85,0,P2Y12_HUMAN
86,0,P2Y12_HUMAN
87,0,P2Y12_HUMAN
88,0,P2Y12_HUMAN
89,0,P2Y12_HUMAN
